datetime,open,high,low,close,volume
2022-05-01 00:00:00,37640.35,37823.16,37505.0,37689.12,583.39317639
2022-04-30 23:00:00,38254.58,38283.0,37590.0,37644.1,1207.56883232
2022-04-30 22:00:00,38311.7,38379.44,38170.62,38256.15,310.57266637
2022-04-30 21:00:00,38337.78,38389.99,38257.87,38312.17,212.5360303
2022-04-30 20:00:00,38473.51,38473.51,38284.7,38337.78,191.90999747
2022-04-30 19:00:00,38349.67,38515.08,38307.84,38473.51,236.36360991
2022-04-30 18:00:00,38287.77,38366.93,38205.01,38349.68,288.09600488
2022-04-30 17:00:00,38438.18,38458.16,38210.28,38285.17,401.49444724
2022-04-30 16:00:00,38477.4,38619.36,38413.15,38437.37,308.99510957
2022-04-30 15:00:00,38261.2,38541.77,38153.43,38478.11,510.51106975
2022-04-30 14:00:00,38511.98,38635.71,38208.14,38253.33,510.81192465
2022-04-30 13:00:00,38538.22,38643.51,38502.0,38511.99,286.91042224
2022-04-30 12:00:00,38576.8,38613.13,38530.74,38537.47,188.27428219
2022-04-30 11:00:00,38565.28,38637.23,38558.74,38576.8,160.48342326
2022-04-30 10:00:00,38625.46,38672.48,38561.84,38567.69,126.55526361
2022-04-30 09:00:00,38585.33,38649.73,38539.5,38625.48,144.60897494
2022-04-30 08:00:00,38665.58,38742.53,38546.78,38586.45,253.4298542
2022-04-30 07:00:00,38707.91,38751.44,38639.25,38665.36,125.10470875
2022-04-30 06:00:00,38703.39,38738.0,38646.54,38707.91,126.85412501
2022-04-30 05:00:00,38566.25,38779.57,38525.72,38703.26,155.24397778
2022-04-30 04:00:00,38662.04,38697.94,38496.84,38566.25,169.0868109
2022-04-30 03:00:00,38696.72,38705.9,38587.81,38660.69,178.12261583
2022-04-30 02:00:00,38707.78,38776.72,38653.18,38697.37,212.05553073
2022-04-30 01:00:00,38641.04,38767.55,38630.0,38707.83,275.33035478
2022-04-30 00:00:00,38592.27,38795.0,38547.06,38638.77,350.1519642
2022-04-29 23:00:00,38609.28,38665.13,38553.19,38593.1,214.05177883
2022-04-29 22:00:00,38561.8,38632.77,38429.84,38610.47,247.89732861
2022-04-29 21:00:00,38564.52,38656.12,38454.39,38563.74,293.6482643
2022-04-29 20:00:00,38323.41,38583.97,38296.14,38564.53,585.7280279
2022-04-29 19:00:00,38535.81,38608.49,38161.85,38324.66,1107.26195701
2022-04-29 18:00:00,38638.44,38670.0,38342.0,38539.81,776.06149606
2022-04-29 17:00:00,38523.78,38734.02,38465.06,38639.69,769.19815847
2022-04-29 16:00:00,39001.94,39074.44,38430.13,38521.39,1169.45179339
2022-04-29 15:00:00,38953.82,39143.77,38842.3,39001.78,778.5105677
2022-04-29 14:00:00,39271.82,39328.56,38788.37,38953.82,1547.56358528
2022-04-29 13:00:00,38915.82,39395.47,38790.0,39271.45,1002.43224171
2022-04-29 12:00:00,38750.79,39137.78,38627.7,38916.95,705.87842918
2022-04-29 11:00:00,38797.21,38945.4,38613.76,38753.33,595.98418998
2022-04-29 10:00:00,39138.32,39236.74,38667.01,38799.85,671.89430958
2022-04-29 09:00:00,39409.42,39409.42,38999.0,39138.33,718.43525084
2022-04-29 08:00:00,39603.44,39638.59,39387.25,39409.56,269.87146439
