datetime,open,high,low,close,volume
2022-01-31 18:00:00,1.3445,1.34454,1.34344,1.34368,431
2022-01-31 19:00:00,1.34366,1.34421,1.34356,1.34386,667
2022-01-31 20:00:00,1.34388,1.34463,1.3438,1.3445,458
2022-01-31 21:00:00,1.34452,1.34484,1.34354,1.34406,992
2022-01-31 22:00:00,1.3441,1.34534,1.34404,1.34522,554
2022-01-31 23:00:00,1.34525,1.34574,1.34512,1.34524,570
2022-02-01 00:00:00,1.34522,1.34548,1.34432,1.34434,706
2022-02-01 01:00:00,1.34436,1.34794,1.34436,1.34784,1733
2022-02-01 02:00:00,1.3478,1.34829,1.34705,1.34806,1848
2022-02-01 03:00:00,1.34804,1.35013,1.34804,1.34984,2048
2022-02-01 04:00:00,1.34981,1.35032,1.34944,1.34977,1377
2022-02-01 05:00:00,1.3498,1.35143,1.34936,1.34942,1575
2022-02-01 06:00:00,1.34946,1.35016,1.34763,1.34806,1524
2022-02-01 07:00:00,1.34809,1.34976,1.34766,1.34954,1942
2022-02-01 08:00:00,1.34956,1.35122,1.34917,1.34983,2271
2022-02-01 09:00:00,1.3499,1.35174,1.34862,1.35056,4644
2022-02-01 10:00:00,1.35058,1.35128,1.34973,1.35048,2507
2022-02-01 11:00:00,1.35046,1.35192,1.3494,1.35062,1413
2022-02-01 12:00:00,1.35064,1.35148,1.35053,1.35145,733
2022-02-01 13:00:00,1.35148,1.3522,1.3511,1.35176,775
2022-02-01 14:00:00,1.35174,1.35286,1.35167,1.35224,1175
2022-02-01 15:00:00,1.35226,1.35275,1.35219,1.35249,332
2022-02-01 16:00:00,1.35206,1.35262,1.35183,1.35238,81
2022-02-01 17:00:00,1.35233,1.35273,1.3521,1.35248,216
2022-02-01 18:00:00,1.35246,1.35269,1.3521,1.35246,469
2022-02-01 19:00:00,1.35243,1.35274,1.35221,1.35262,645
2022-02-01 20:00:00,1.3526,1.35278,1.35218,1.3522,468
2022-02-01 21:00:00,1.35222,1.35232,1.3517,1.3517,264
2022-02-01 22:00:00,1.35172,1.3524,1.35172,1.35202,235
2022-02-01 23:00:00,1.35199,1.35252,1.35187,1.35204,310
2022-02-02 00:00:00,1.35202,1.35255,1.35196,1.35245,507
2022-02-02 01:00:00,1.35248,1.35384,1.35232,1.35352,1173
2022-02-02 02:00:00,1.35354,1.35479,1.35311,1.35343,1919
2022-02-02 03:00:00,1.35348,1.35432,1.3527,1.35415,1615
2022-02-02 04:00:00,1.35418,1.35552,1.35358,1.35506,1856
2022-02-02 05:00:00,1.35508,1.35668,1.35508,1.3563,1181
2022-02-02 06:00:00,1.35634,1.35806,1.35632,1.358,1492
2022-02-02 07:00:00,1.35798,1.35874,1.35602,1.35602,2588
2022-02-02 08:00:00,1.35604,1.35722,1.35546,1.35558,3185
2022-02-02 09:00:00,1.35561,1.35834,1.35547,1.35655,3459
2022-02-02 10:00:00,1.35652,1.35694,1.35544,1.35676,2000
2022-02-02 11:00:00,1.35674,1.35786,1.35639,1.35779,982
2022-02-02 12:00:00,1.35777,1.35828,1.35694,1.35754,880
2022-02-02 13:00:00,1.35752,1.35867,1.35746,1.35842,858
2022-02-02 14:00:00,1.3584,1.35864,1.35698,1.35716,864
2022-02-02 15:00:00,1.35714,1.35743,1.35686,1.35738,274
2022-02-02 16:00:00,1.35764,1.35777,1.35723,1.35767,74
2022-02-02 17:00:00,1.35762,1.35767,1.35641,1.35644,173
2022-02-02 18:00:00,1.35646,1.35668,1.3559,1.356,478
2022-02-02 19:00:00,1.35598,1.35654,1.35566,1.35651,592
