datetime,open,high,low,close,volume
2022-01-31 18:00:00,115.124,115.188,115.112,115.154,2130
2022-01-31 19:00:00,115.156,115.195,115.019,115.053,2202
2022-01-31 20:00:00,115.054,115.136,115.006,115.057,1514
2022-01-31 21:00:00,115.059,115.07,114.972,114.987,2294
2022-01-31 22:00:00,114.988,114.992,114.887,114.925,2133
2022-01-31 23:00:00,114.924,115.024,114.922,114.996,1730
2022-02-01 00:00:00,114.998,115.053,114.969,115.042,1222
2022-02-01 01:00:00,115.044,115.07,114.922,114.943,3436
2022-02-01 02:00:00,114.944,115.042,114.9,114.908,3803
2022-02-01 03:00:00,114.906,114.906,114.642,114.69,5908
2022-02-01 04:00:00,114.688,114.748,114.654,114.72,3350
2022-02-01 05:00:00,114.722,114.766,114.607,114.628,2996
2022-02-01 06:00:00,114.626,114.69,114.566,114.678,3173
2022-02-01 07:00:00,114.68,114.766,114.636,114.694,4209
2022-02-01 08:00:00,114.696,114.831,114.654,114.769,5376
2022-02-01 09:00:00,114.762,114.893,114.718,114.797,8275
2022-02-01 10:00:00,114.796,114.816,114.736,114.776,4454
2022-02-01 11:00:00,114.774,114.776,114.646,114.686,1988
2022-02-01 12:00:00,114.685,114.706,114.637,114.652,1773
2022-02-01 13:00:00,114.654,114.74,114.638,114.698,2291
2022-02-01 14:00:00,114.699,114.785,114.686,114.692,1812
2022-02-01 15:00:00,114.691,114.722,114.67,114.688,1292
2022-02-01 16:00:00,114.704,114.707,114.666,114.704,37
2022-02-01 17:00:00,114.7,114.747,114.7,114.738,809
2022-02-01 18:00:00,114.739,114.785,114.667,114.686,1890
2022-02-01 19:00:00,114.684,114.701,114.649,114.7,1560
2022-02-01 20:00:00,114.701,114.748,114.694,114.714,1469
2022-02-01 21:00:00,114.715,114.804,114.71,114.797,1358
2022-02-01 22:00:00,114.798,114.804,114.738,114.767,943
2022-02-01 23:00:00,114.766,114.779,114.735,114.756,816
2022-02-02 00:00:00,114.757,114.766,114.685,114.708,1124
2022-02-02 01:00:00,114.706,114.708,114.596,114.631,2448
2022-02-02 02:00:00,114.63,114.634,114.508,114.536,3794
2022-02-02 03:00:00,114.535,114.606,114.4,114.405,3564
2022-02-02 04:00:00,114.404,114.441,114.32,114.408,3520
2022-02-02 05:00:00,114.406,114.423,114.336,114.344,2424
2022-02-02 06:00:00,114.342,114.351,114.239,114.24,2867
2022-02-02 07:00:00,114.239,114.429,114.158,114.425,5485
2022-02-02 08:00:00,114.424,114.445,114.2,114.242,6451
2022-02-02 09:00:00,114.244,114.408,114.196,114.379,6004
2022-02-02 10:00:00,114.38,114.408,114.321,114.372,3806
2022-02-02 11:00:00,114.37,114.376,114.296,114.327,1681
2022-02-02 12:00:00,114.328,114.41,114.309,114.394,1314
2022-02-02 13:00:00,114.393,114.42,114.374,114.383,1816
2022-02-02 14:00:00,114.382,114.466,114.371,114.459,1479
2022-02-02 15:00:00,114.46,114.466,114.408,114.438,682
2022-02-02 16:00:00,114.421,114.469,114.416,114.448,57
2022-02-02 17:00:00,114.445,114.46,114.346,114.382,1005
2022-02-02 18:00:00,114.381,114.47,114.338,114.454,3140
2022-02-02 19:00:00,114.456,114.474,114.372,114.381,1152
2022-02-02 20:00:00,114.38,114.458,114.327,114.444,1199
2022-02-02 21:00:00,114.442,114.452,114.398,114.423,1482
2022-02-02 22:00:00,114.425,114.535,114.424,114.502,1798
2022-02-02 23:00:00,114.501,114.536,114.489,114.524,1076
2022-02-03 00:00:00,114.523,114.554,114.491,114.546,1087
2022-02-03 01:00:00,114.544,114.607,114.503,114.581,1926
2022-02-03 02:00:00,114.582,114.7,114.578,114.677,3158
2022-02-03 03:00:00,114.674,114.78,114.652,114.748,2753
2022-02-03 04:00:00,114.746,114.788,114.74,114.774,1509
2022-02-03 05:00:00,114.775,114.852,114.758,114.838,2596
2022-02-03 06:00:00,114.836,114.976,114.746,114.843,6018
2022-02-03 07:00:00,114.844,114.924,114.783,114.859,7960
2022-02-03 08:00:00,114.858,114.932,114.736,114.85,11529
2022-02-03 09:00:00,114.848,114.95,114.83,114.892,7839
2022-02-03 10:00:00,114.892,114.938,114.81,114.878,4405
2022-02-03 11:00:00,114.88,114.909,114.788,114.85,3013
2022-02-03 12:00:00,114.851,114.94,114.845,114.914,2171
2022-02-03 13:00:00,114.912,114.942,114.864,114.936,1834
2022-02-03 14:00:00,114.938,114.958,114.89,114.939,1322
2022-02-03 15:00:00,114.941,114.989,114.926,114.983,1202
2022-02-03 16:00:00,114.97,114.984,114.941,114.972,82
2022-02-03 17:00:00,114.97,114.978,114.95,114.96,746
2022-02-03 18:00:00,114.96,115.052,114.93,114.962,3017
2022-02-03 19:00:00,114.96,114.967,114.817,114.846,2223
2022-02-03 20:00:00,114.847,114.954,114.814,114.935,2045
2022-02-03 21:00:00,114.936,114.969,114.902,114.91,1096
2022-02-03 22:00:00,114.912,114.916,114.868,114.887,1082
2022-02-03 23:00:00,114.888,114.945,114.871,114.932,1047
2022-02-04 00:00:00,114.933,115.014,114.907,114.989,1480
2022-02-04 01:00:00,114.99,115.126,114.931,115.104,3082
2022-02-04 02:00:00,115.105,115.153,115.036,115.082,4537
2022-02-04 03:00:00,115.084,115.096,114.908,114.946,3594
2022-02-04 04:00:00,114.945,114.974,114.898,114.955,4108
2022-02-04 05:00:00,114.956,114.964,114.847,114.874,3514
2022-02-04 06:00:00,114.872,114.919,114.774,114.914,2719
2022-02-04 07:00:00,114.915,115.394,114.864,115.366,11855
2022-02-04 08:00:00,115.367,115.37,115.136,115.346,10329
2022-02-04 09:00:00,115.348,115.432,115.226,115.272,8009
2022-02-04 10:00:00,115.274,115.291,115.203,115.228,3920
2022-02-04 11:00:00,115.228,115.251,115.164,115.249,1721
2022-02-04 12:00:00,115.25,115.256,115.188,115.234,1492
2022-02-04 13:00:00,115.236,115.262,115.178,115.26,1534
2022-02-04 14:00:00,115.259,115.266,115.176,115.193,922
2022-02-04 15:00:00,115.191,115.218,115.181,115.199,509
2022-02-06 16:00:00,115.286,115.322,115.266,115.276,1401
2022-02-06 17:00:00,115.279,115.324,115.222,115.23,1723
2022-02-06 18:00:00,115.232,115.264,115.138,115.244,3122
2022-02-06 19:00:00,115.245,115.338,115.236,115.293,2883
2022-02-06 20:00:00,115.294,115.346,115.254,115.296,1645
2022-02-06 21:00:00,115.296,115.323,115.266,115.302,1728
2022-02-06 22:00:00,115.3,115.307,115.268,115.273,1031
2022-02-06 23:00:00,115.274,115.379,115.262,115.346,1722
2022-02-07 00:00:00,115.345,115.348,115.293,115.344,1188
2022-02-07 01:00:00,115.343,115.356,115.198,115.256,2813
2022-02-07 02:00:00,115.254,115.258,115.037,115.102,4305
2022-02-07 03:00:00,115.104,115.152,114.97,115.023,3971
2022-02-07 04:00:00,115.024,115.086,114.978,115.017,3033
2022-02-07 05:00:00,115.016,115.044,114.916,114.948,3247
2022-02-07 06:00:00,114.947,115.024,114.916,114.968,2992
2022-02-07 07:00:00,114.966,115.126,114.922,115.094,3614
2022-02-07 08:00:00,115.094,115.142,115.05,115.062,4974
2022-02-07 09:00:00,115.06,115.096,114.977,115.056,4571
2022-02-07 10:00:00,115.058,115.121,115.004,115.098,3130
2022-02-07 11:00:00,115.097,115.18,115.09,115.164,1921
2022-02-07 12:00:00,115.164,115.166,115.115,115.116,1386
2022-02-07 13:00:00,115.118,115.135,115.064,115.072,1197
2022-02-07 14:00:00,115.07,115.106,115.054,115.104,1000
2022-02-07 15:00:00,115.106,115.108,115.067,115.092,493
2022-02-07 16:00:00,115.11,115.115,115.08,115.085,169
2022-02-07 17:00:00,115.093,115.094,115.056,115.064,860
2022-02-07 18:00:00,115.066,115.314,115.062,115.292,2817
2022-02-07 19:00:00,115.294,115.348,115.251,115.296,2242
2022-02-07 20:00:00,115.297,115.418,115.292,115.386,2447
2022-02-07 21:00:00,115.384,115.384,115.317,115.349,2063
2022-02-07 22:00:00,115.35,115.418,115.344,115.405,1412
2022-02-07 23:00:00,115.404,115.481,115.402,115.462,2150
2022-02-08 00:00:00,115.46,115.528,115.442,115.484,1586
2022-02-08 01:00:00,115.486,115.548,115.445,115.483,2790
2022-02-08 02:00:00,115.482,115.492,115.33,115.368,4170
2022-02-08 03:00:00,115.37,115.414,115.31,115.38,3413
2022-02-08 04:00:00,115.381,115.382,115.232,115.249,3025
2022-02-08 05:00:00,115.25,115.336,115.233,115.311,2970
2022-02-08 06:00:00,115.31,115.375,115.301,115.374,1984
2022-02-08 07:00:00,115.375,115.478,115.374,115.424,3994
2022-02-08 08:00:00,115.423,115.498,115.384,115.476,4258
2022-02-08 09:00:00,115.474,115.61,115.438,115.592,4632
2022-02-08 10:00:00,115.592,115.628,115.571,115.625,2526
2022-02-08 11:00:00,115.624,115.626,115.542,115.592,1514
2022-02-08 12:00:00,115.591,115.605,115.512,115.528,1324
2022-02-08 13:00:00,115.528,115.544,115.474,115.538,1087
2022-02-08 14:00:00,115.537,115.544,115.492,115.544,1004
2022-02-08 15:00:00,115.542,115.552,115.522,115.548,513
2022-02-08 16:00:00,115.551,115.561,115.54,115.553,228
2022-02-08 17:00:00,115.556,115.685,115.534,115.536,1466
2022-02-08 18:00:00,115.538,115.596,115.436,115.526,2859
2022-02-08 19:00:00,115.524,115.524,115.402,115.441,2197
2022-02-08 20:00:00,115.44,115.44,115.322,115.334,1900
2022-02-08 21:00:00,115.335,115.432,115.322,115.401,1984
2022-02-08 22:00:00,115.403,115.476,115.37,115.462,1142
2022-02-08 23:00:00,115.463,115.49,115.428,115.477,860
2022-02-09 00:00:00,115.478,115.542,115.422,115.518,1521
2022-02-09 01:00:00,115.519,115.522,115.403,115.403,2142
2022-02-09 02:00:00,115.404,115.424,115.337,115.402,2492
2022-02-09 03:00:00,115.401,115.446,115.344,115.362,2059
2022-02-09 04:00:00,115.361,115.464,115.358,115.432,2419
2022-02-09 05:00:00,115.432,115.478,115.391,115.438,1721
2022-02-09 06:00:00,115.436,115.47,115.414,115.442,1762
2022-02-09 07:00:00,115.441,115.518,115.426,115.463,3383
2022-02-09 08:00:00,115.462,115.512,115.38,115.456,3226
2022-02-09 09:00:00,115.456,115.481,115.39,115.457,3787
2022-02-09 10:00:00,115.456,115.469,115.411,115.457,2198
2022-02-09 11:00:00,115.458,115.459,115.375,115.44,1875
2022-02-09 12:00:00,115.441,115.498,115.384,115.489,1373
2022-02-09 13:00:00,115.488,115.508,115.471,115.482,836
2022-02-09 14:00:00,115.48,115.566,115.464,115.526,1009
2022-02-09 15:00:00,115.524,115.552,115.518,115.542,532
2022-02-09 16:00:00,115.518,115.558,115.506,115.549,1221
2022-02-09 17:00:00,115.546,115.604,115.525,115.603,1081
2022-02-09 18:00:00,115.602,115.635,115.552,115.575,2740
2022-02-09 19:00:00,115.573,115.584,115.483,115.504,1801
2022-02-09 20:00:00,115.502,115.561,115.494,115.507,1275
2022-02-09 21:00:00,115.506,115.549,115.489,115.546,1236
2022-02-09 22:00:00,115.55,115.652,115.528,115.64,2277
2022-02-09 23:00:00,115.638,115.638,115.583,115.614,2538
2022-02-10 00:00:00,115.616,115.709,115.6,115.668,1140
2022-02-10 01:00:00,115.669,115.674,115.565,115.594,2004
2022-02-10 02:00:00,115.596,115.642,115.559,115.564,2906
